k pattern_length text_len alphabet_size patterns average_active_states states_with_error
3 20 100 24 100 [1,2,4,9,12,15,14,12,11,10,9,13,13,10,12,12,21,21,18,17,18,15,13,13,13,12,11,10,10,12,13,14,14,19,20,19,20,16,23,19,20,18,19,15,14,14,12,13,11,11,16,17,14,11,13,17,15,18,13,9,9,10,13,14,14,16,16,16,13,13,17,18,19,16,14,14,15,18,18,15,14,17,23,22,18,16,20,19,18,14,10,11,12,10,12,12,14,13,11,15,10] {"0":[100,1],"1":[309,83],"2":[122,635],"3":[18,232],"4":[0,30]} [449,1439,539]
1 20 100 12 200 [1,3,6,6,5,6,7,6,6,8,9,8,8,5,7,6,6,5,6,7,5,6,6,6,7,7,6,6,8,7,7,9,6,6,6,6,6,5,5,5,5,6,8,8,5,7,7,6,9,6,5,6,8,6,6,5,5,6,8,8,7,5,6,6,6,6,6,6,7,7,9,8,8,5,6,10,9,10,7,6,8,8,9,7,7,8,6,7,6,7,9,8,5,7,8,7,5,6,7,7,3] {"0":[100,1],"1":[194,5],"2":[103,189],"3":[18,124],"4":[1,23],"5":[0,1]} [316,661,413]
1 20 100 12 200 [1,3,6,7,7,6,7,6,7,5,7,7,7,5,6,5,6,5,7,5,6,6,9,8,7,6,6,5,6,6,6,5,6,5,5,7,10,10,7,6,5,7,7,7,7,7,8,6,5,6,7,6,6,6,9,7,7,5,8,7,6,5,5,5,5,5,5,6,6,7,8,7,6,5,6,6,8,6,5,6,8,8,7,5,5,5,6,7,5,5,5,5,8,6,7,7,7,6,6,8,2] {"0":[100,1],"1":[191,8],"2":[100,187],"3":[10,117],"4":[0,11]} [301,626,399]
1 20 100 12 200 [1,3,5,5,8,7,7,9,7,6,5,7,7,6,7,7,6,9,6,5,5,5,7,8,9,7,6,8,7,6,6,6,5,7,7,7,6,6,8,7,7,5,6,6,7,6,5,6,5,6,5,7,6,6,8,10,8,6,7,6,8,10,8,8,7,6,6,6,6,6,9,9,9,8,7,7,5,6,10,10,10,6,7,7,7,7,6,7,7,7,8,6,5,5,5,7,7,8,7,8,2] {"0":[100,1],"1":[195,4],"2":[109,184],"3":[22,127],"4":[1,28],"5":[1,0],"6":[0,1]} [328,674,426]
2 20 100 12 200 [1,3,6,11,16,18,17,20,20,17,16,18,16,19,20,21,18,19,17,12,17,17,14,13,17,16,16,18,17,21,19,15,16,20,20,17,19,21,16,18,24,26,27,20,18,19,20,25,25,22,19,16,16,15,16,17,19,19,20,23,25,27,23,23,18,17,15,19,14,16,21,26,24,17,12,16,18,19,20,20,24,23,25,18,16,19,21,19,19,14,14,18,19,19,16,14,19,21,18,18,7] {"0":[100,1],"1":[294,3],"2":[392,194],"3":[145,504],"4":[33,193],"5":[8,43],"6":[1,10],"7":[1,0],"8":[0,1]} [874,1829,967]
2 20 100 12 200 [1,3,6,12,17,15,20,18,13,12,17,20,17,15,20,18,13,14,17,19,22,18,17,15,16,16,18,19,15,19,17,15,17,15,15,16,17,17,17,15,13,14,17,17,18,21,23,21,17,14,16,15,18,15,15,15,17,18,21,18,17,15,16,19,25,19,19,17,16,22,29,24,23,20,15,19,19,20,18,18,15,19,16,17,17,17,23,18,19,18,14,17,18,19,24,21,17,20,22,22,9] {"0":[100,1],"1":[294,3],"2":[384,202],"3":[116,525],"4":[25,144],"5":[1,34],"6":[0,1]} [820,1738,911]
2 20 100 12 200 [1,3,6,9,12,13,18,16,15,17,19,18,15,16,18,14,17,19,22,21,24,28,39,27,19,16,18,18,23,18,20,19,22,19,18,17,17,19,21,23,19,23,21,16,16,16,14,11,17,15,17,15,17,18,15,13,16,18,19,21,18,20,19,18,20,19,15,16,17,20,17,15,15,15,16,19,17,19,19,16,15,16,21,17,17,22,18,16,13,14,13,12,12,16,19,19,19,15,19,17,8] {"0":[100,1],"1":[291,6],"2":[383,197],"3":[112,519],"4":[34,136],"5":[5,37],"6":[2,5],"7":[0,4]} [827,1739,919]
3 20 100 12 200 [1,3,7,14,24,31,36,34,32,32,35,44,55,49,40,49,43,51,46,43,42,41,39,46,41,40,45,45,42,40,35,39,48,39,39,42,45,43,43,38,34,30,34,35,44,41,47,45,49,44,48,49,40,44,38,38,37,36,39,34,40,38,40,39,36,36,38,40,47,50,47,50,39,39,38,32,38,37,38,42,40,48,50,51,46,40,39,31,32,35,46,42,34,26,35,37,31,35,35,37,20] {"0":[100,1],"1":[390,4],"2":[806,164],"3":[450,1142],"4":[110,636],"5":[17,140],"6":[1,20],"7":[0,1]} [1774,3901,1854]
3 20 100 12 200 [1,3,7,15,28,42,50,38,33,37,43,42,47,43,43,47,48,54,57,56,48,38,39,48,43,45,49,42,47,39,44,42,33,30,31,39,38,42,40,33,37,36,37,32,36,35,34,36,35,37,37,32,29,27,32,34,40,43,39,38,37,35,40,40,38,43,49,43,48,38,37,33,42,42,41,39,34,37,33,30,32,36,40,48,42,40,42,42,39,43,39,37,40,44,43,44,45,48,50,44,23] {"0":[100,1],"1":[390,4],"2":[795,175],"3":[453,1113],"4":[86,678],"5":[15,131],"6":[5,17],"7":[0,5]} [1744,3890,1821]
3 20 100 12 200 [1,3,7,14,26,41,44,47,42,35,33,42,36,43,44,39,46,54,43,36,34,36,40,36,36,34,37,33,34,39,38,42,37,40,47,48,45,46,57,57,57,47,45,46,48,46,51,47,48,44,43,46,43,41,46,44,46,42,37,33,34,35,43,40,41,38,38,40,40,49,55,43,41,42,52,60,38,46,51,40,32,41,42,50,46,43,37,38,39,41,45,40,38,35,37,38,48,52,46,46,25] {"0":[100,1],"1":[390,4],"2":[845,125],"3":[485,1193],"4":[121,701],"5":[23,168],"6":[5,26],"7":[0,6]} [1869,4117,1944]
1 20 100 18 200 [1,3,5,5,5,5,6,4,3,4,4,4,5,5,5,5,4,5,4,6,5,5,5,5,6,5,5,6,6,5,5,5,5,5,6,5,5,7,4,5,5,4,6,4,6,4,4,4,5,6,7,7,4,5,7,7,6,7,7,6,5,6,5,3,4,5,5,6,6,5,4,5,4,4,5,4,6,5,5,4,5,6,5,6,5,6,5,4,5,4,5,4,5,4,5,6,5,5,5,4,1] {"0":[100,1],"1":[167,32],"2":[34,220],"3":[2,42],"4":[0,2]} [203,500,302]
1 20 100 18 200 [1,3,4,5,7,6,6,6,5,5,5,5,5,7,6,6,6,5,7,6,5,6,7,4,6,5,3,6,6,5,6,8,6,6,5,6,7,5,4,4,5,3,4,4,5,5,6,6,5,6,6,4,5,5,6,4,4,5,5,5,5,5,6,6,3,4,5,6,6,6,5,6,4,6,4,5,5,5,4,4,6,6,7,5,4,4,5,5,6,5,4,5,4,4,5,6,7,5,5,7,3] {"0":[100,1],"1":[168,31],"2":[41,216],"3":[4,54],"4":[1,3],"5":[0,1]} [214,522,311]
1 20 100 18 200 [1,2,4,5,6,5,4,3,5,5,6,6,6,5,4,5,5,5,5,4,5,6,6,7,7,7,8,5,6,7,7,6,4,4,6,4,4,5,5,5,4,4,5,5,4,4,5,6,5,5,3,4,5,5,4,5,6,4,5,5,3,5,4,4,5,5,7,5,5,6,5,5,6,6,7,5,5,5,6,5,5,7,6,5,6,7,4,5,5,7,5,6,6,6,7,6,7,5,5,5,2] {"0":[100,1],"1":[173,26],"2":[42,217],"3":[6,45],"4":[0,8]} [221,519,319]
2 20 100 18 200 [1,3,7,10,14,12,17,14,13,12,13,14,14,12,13,12,13,14,13,12,11,10,10,11,10,9,11,11,10,11,11,10,10,9,10,13,14,14,16,12,8,10,10,12,11,12,14,12,8,9,10,11,10,9,9,11,10,9,9,10,9,11,12,14,9,10,10,10,11,10,10,9,10,12,14,12,11,10,11,11,12,11,10,11,10,9,9,12,14,12,10,10,9,10,13,12,12,13,13,13,6] {"0":[100,1],"1":[276,21],"2":[138,408],"3":[17,213],"4":[2,24],"5":[0,2]} [433,1107,527]
2 20 100 18 200 [1,3,6,10,13,12,12,12,15,14,14,11,11,10,11,11,12,15,13,15,13,15,16,13,12,14,11,15,11,11,11,14,12,16,14,12,12,10,14,12,11,10,10,13,15,17,13,13,13,13,11,11,12,13,15,11,10,10,9,8,9,9,11,13,14,12,10,12,16,13,12,11,13,12,13,13,11,9,11,11,11,12,11,12,13,12,10,10,12,11,11,10,11,10,10,11,13,14,11,11,6] {"0":[100,1],"1":[286,11],"2":[167,403],"3":[24,250],"4":[3,30],"5":[0,4]} [480,1184,574]
2 20 100 18 200 [1,3,7,11,12,10,9,7,9,10,11,14,10,10,12,12,10,10,10,12,16,15,13,11,10,9,11,9,9,9,9,10,11,12,11,12,12,12,10,9,10,12,11,12,10,10,11,10,11,15,13,12,10,13,12,14,12,14,14,13,13,12,11,11,11,11,11,10,9,8,11,13,13,11,11,11,13,12,13,11,11,12,16,19,13,9,13,14,10,10,10,10,10,13,15,14,14,17,15,13,6] {"0":[100,1],"1":[285,12],"2":[135,430],"3":[21,214],"4":[3,28],"5":[2,1],"6":[0,2]} [446,1139,540]
3 20 100 18 200 [1,3,7,11,20,21,24,26,23,17,19,21,24,19,20,23,20,19,21,18,22,21,25,23,26,29,26,27,25,27,28,41,33,30,25,27,29,30,34,33,24,20,23,30,26,23,27,27,29,28,34,25,22,23,28,31,38,37,32,25,23,27,25,23,21,24,17,18,19,19,21,25,26,24,18,23,26,28,37,31,29,28,24,26,21,19,17,19,19,22,23,24,24,18,21,21,24,23,24,23,11] {"0":[100,1],"1":[388,6],"2":[412,555],"3":[114,707],"4":[15,170],"5":[2,23],"6":[0,2]} [931,2405,1020]
3 20 100 18 200 [1,3,6,10,17,23,26,23,27,21,22,23,27,30,29,21,27,26,31,29,28,27,27,29,35,26,25,25,30,31,28,27,25,29,21,22,21,18,21,20,27,22,24,23,27,34,29,20,21,20,21,19,21,23,25,31,32,31,31,29,30,24,29,23,25,30,27,26,24,25,23,26,30,31,27,30,23,20,24,23,22,24,27,26,25,25,19,23,27,30,30,29,26,23,23,23,26,28,30,27,15] {"0":[100,1],"1":[389,5],"2":[459,510],"3":[115,794],"4":[14,170],"5":[1,21],"6":[0,2]} [978,2495,1063]
3 20 100 18 200 [1,3,7,13,21,26,28,24,27,29,30,29,30,29,33,30,20,17,26,26,24,32,28,26,27,24,18,18,22,25,27,23,24,24,26,28,24,27,23,23,19,17,21,22,23,24,27,28,32,26,21,17,24,25,26,29,27,26,25,26,20,24,21,25,27,28,30,32,23,18,21,22,24,30,28,30,28,28,29,31,35,35,40,32,22,22,23,20,21,26,36,42,37,31,28,22,21,29,28,27,18] {"0":[100,1],"1":[386,8],"2":[459,502],"3":[126,785],"4":[18,197],"5":[4,32],"6":[1,4],"7":[0,1]} [994,2541,1076]
1 20 100 24 200 [1,3,5,5,3,5,4,6,6,4,3,4,4,2,4,4,3,3,5,5,3,2,3,4,6,5,5,4,6,4,4,3,3,2,3,4,5,4,6,6,5,3,3,2,4,4,2,3,5,4,4,3,3,5,4,2,4,5,6,5,4,4,4,4,5,6,4,3,4,5,5,4,6,5,5,6,8,6,5,4,6,4,3,2,4,6,5,5,5,5,5,4,5,5,5,7,5,4,4,3,1] {"0":[100,1],"1":[128,71],"2":[22,171],"3":[2,29],"4":[0,3]} [152,427,251]
1 20 100 24 200 [1,3,5,4,5,5,4,5,4,4,7,5,3,5,4,3,3,2,4,4,3,2,4,4,4,4,4,3,3,3,3,4,4,5,5,4,5,6,6,4,5,6,5,3,6,6,5,5,5,6,5,4,6,5,5,3,3,4,2,3,4,5,4,4,4,2,3,2,3,5,4,5,4,3,5,4,4,4,4,2,4,5,5,4,5,5,4,5,6,4,4,3,3,4,4,5,5,4,6,5,2] {"0":[100,1],"1":[125,74],"2":[22,167],"3":[0,29]} [147,419,245]
1 20 100 24 200 [1,3,4,4,4,3,4,5,4,4,5,5,5,4,4,6,5,5,4,4,4,4,5,5,4,4,4,2,2,4,5,5,3,4,4,5,4,5,3,2,3,6,4,2,3,4,3,2,3,2,3,5,6,3,4,5,5,5,4,4,4,4,5,5,6,4,5,5,4,4,4,4,5,5,4,3,4,4,5,3,4,4,4,5,6,5,2,3,5,5,4,4,3,5,3,4,3,3,2,3,1] {"0":[100,1],"1":[122,77],"2":[17,164],"3":[0,21]} [139,402,238]
2 20 100 24 200 [1,3,6,11,11,8,8,8,11,10,8,7,8,9,8,8,9,11,9,9,9,10,11,11,9,9,8,9,9,9,9,10,7,7,8,8,8,8,9,10,10,10,10,8,7,11,13,10,11,14,12,12,10,12,13,15,12,9,8,8,9,10,11,7,8,10,10,9,8,9,11,12,11,9,6,8,8,10,9,10,10,10,8,9,10,8,9,11,11,9,8,8,8,8,9,12,12,10,11,9,5] {"0":[100,1],"1":[250,47],"2":[73,433],"3":[3,119],"4":[0,6]} [326,936,421]
2 20 100 24 200 [1,3,5,7,9,11,9,8,10,9,11,11,11,12,9,11,8,9,9,9,10,10,12,7,7,9,8,10,9,8,7,8,9,10,9,10,11,13,7,8,9,10,9,10,7,7,7,8,10,9,10,10,7,8,10,11,11,8,9,12,13,12,9,9,10,8,10,7,9,11,11,10,10,11,12,10,11,10,12,10,8,9,10,9,11,11,12,9,11,11,12,12,9,11,14,13,11,13,11,10,4] {"0":[100,1],"1":[257,40],"2":[81,434],"3":[9,124],"4":[0,13]} [347,962,443]
2 20 100 24 200 [1,2,4,4,6,8,8,9,8,9,8,11,9,9,9,9,9,10,10,11,10,10,8,9,8,8,9,8,10,15,12,10,10,10,9,8,9,9,10,9,10,11,9,11,12,14,11,8,8,8,8,9,9,8,11,8,9,8,9,9,9,10,11,12,10,10,9,8,7,7,9,9,9,9,9,10,10,11,10,9,11,10,10,10,10,8,9,10,12,10,9,10,10,12,9,9,9,9,9,13,7] {"0":[100,1],"1":[259,38],"2":[60,453],"3":[7,95],"4":[1,8],"5":[0,1]} [327,929,420]
3 20 100 24 200 [1,3,6,10,16,16,16,20,19,15,17,22,22,17,15,14,16,17,21,19,17,17,19,21,18,17,15,16,21,18,16,17,18,19,21,18,17,22,17,20,20,16,22,20,20,17,18,18,21,23,21,29,26,23,20,19,24,19,21,17,18,20,17,21,21,22,23,19,19,17,20,17,14,15,15,17,20,24,34,30,25,19,19,21,16,18,16,17,21,19,17,20,18,19,16,19,16,16,18,21,11] {"0":[100,1],"1":[380,14],"2":[226,718],"3":[40,387],"4":[6,71],"5":[1,10],"6":[0,1]} [653,1865,742]
3 20 100 24 200 [1,3,7,12,17,18,22,19,23,24,23,24,21,19,17,19,19,16,19,18,18,20,20,22,22,16,17,18,19,15,16,17,20,22,22,24,20,18,17,22,22,17,16,16,18,18,18,18,19,22,18,18,16,17,19,16,19,16,17,19,17,18,20,22,20,19,23,23,20,17,16,18,22,20,18,17,19,18,23,21,22,18,20,19,22,21,20,17,18,15,21,20,22,21,21,17,22,22,20,21,12] {"0":[100,1],"1":[383,11],"2":[231,724],"3":[37,424],"4":[2,60],"5":[1,1],"6":[0,1]} [654,1887,742]
3 20 100 24 200 [1,3,7,12,18,25,20,17,17,18,18,20,21,21,22,21,21,20,22,23,22,18,18,19,17,16,18,13,12,15,18,18,15,17,18,18,17,17,16,16,15,15,17,25,24,22,19,14,19,17,22,18,21,19,18,15,13,13,16,16,16,17,15,17,18,17,15,15,16,19,19,19,17,17,15,15,18,21,25,22,18,17,17,18,18,22,21,19,20,19,17,16,20,17,19,21,21,17,17,17,12] {"0":[100,1],"1":[379,15],"2":[200,742],"3":[21,365],"4":[3,39],"5":[0,3]} [603,1779,691]
1 20 100 12 300 [1,3,6,7,7,8,8,9,6,8,5,7,5,6,7,8,11,10,7,6,5,7,10,9,6,6,8,9,9,8,7,8,7,7,7,9,5,8,9,7,9,6,5,8,7,6,6,7,7,7,6,5,6,6,5,6,5,8,8,7,7,11,10,9,7,9,7,6,7,8,7,7,9,11,9,7,6,8,9,8,6,8,9,9,5,7,8,6,7,5,7,7,7,6,7,8,6,6,7,7,2] {"0":[100,1],"1":[197,2],"2":[151,144],"3":[25,166],"4":[4,23],"5":[0,4]} [377,718,475]
1 20 100 12 300 [1,3,5,7,7,7,7,8,6,9,9,7,7,5,7,10,9,8,9,7,8,10,6,9,7,7,8,7,7,9,8,7,8,7,7,8,8,8,8,10,8,8,6,6,6,7,8,7,6,7,8,8,8,5,6,8,8,6,6,8,9,10,10,6,7,9,7,7,9,7,6,7,7,6,7,5,6,7,7,8,7,10,9,7,7,5,6,8,9,8,9,9,11,9,7,5,8,12,9,7,2] {"0":[100,1],"1":[197,2],"2":[163,132],"3":[24,193],"4":[4,25],"5":[0,4]} [388,746,486]
1 20 100 12 300 [1,3,6,9,9,10,9,7,6,7,7,5,5,6,8,8,7,7,7,6,7,7,6,5,6,5,6,8,8,6,8,8,9,6,7,9,9,10,7,6,6,6,6,5,7,8,5,7,9,7,5,8,9,7,7,9,8,6,7,9,7,7,5,7,7,8,6,5,6,8,7,7,8,7,6,7,10,10,7,6,7,6,7,7,8,9,9,6,6,6,8,8,5,6,8,9,7,7,6,8,2] {"0":[100,1],"1":[197,2],"2":[135,160],"3":[23,151],"4":[1,30],"5":[0,2]} [356,703,454]
2 20 100 12 300 [1,3,7,12,16,15,14,16,18,18,20,26,25,17,16,15,18,19,19,20,19,15,20,18,19,19,17,20,18,20,21,22,24,24,18,20,21,25,27,31,27,17,16,18,22,24,25,25,17,16,20,15,20,21,19,19,17,15,18,18,22,21,21,21,15,16,16,17,19,17,19,22,22,18,20,17,20,24,22,15,20,24,19,23,24,24,22,26,27,22,20,25,23,15,18,19,21,25,21,24,11] {"0":[100,1],"1":[294,3],"2":[454,132],"3":[179,579],"4":[29,231],"5":[5,34],"6":[3,2],"7":[0,3]} [964,1959,1053]
2 20 100 12 300 [1,3,7,13,20,22,24,23,25,22,22,20,17,19,23,24,20,19,18,21,17,19,21,21,20,20,21,20,19,15,19,19,17,20,20,21,20,19,18,21,23,19,20,24,18,16,22,25,20,26,24,22,18,16,19,20,20,27,24,18,19,17,15,20,18,17,18,21,20,19,22,20,18,20,15,14,20,21,19,17,19,14,13,15,16,19,20,22,22,21,22,22,21,19,19,21,28,23,24,21,9] {"0":[100,1],"1":[294,3],"2":[474,112],"3":[165,631],"4":[22,215],"5":[2,22],"6":[0,2]} [957,1951,1048]
2 20 100 12 300 [1,3,6,12,15,18,20,22,20,15,16,20,18,20,19,21,21,27,27,25,23,23,25,26,21,25,22,16,14,16,19,17,16,15,18,18,18,18,17,17,21,20,23,22,18,16,15,16,19,23,20,16,17,17,18,20,19,20,17,18,18,23,25,21,20,19,20,21,22,24,20,22,25,20,22,22,20,20,19,19,18,20,22,21,22,22,17,18,21,17,18,21,21,16,16,15,16,16,16,18,7] {"0":[100,1],"1":[294,3],"2":[454,132],"3":[153,598],"4":[28,194],"5":[4,32],"6":[1,4],"7":[0,1]} [934,1905,1027]
3 20 100 12 300 [1,3,7,15,26,36,36,39,42,39,42,45,41,43,54,58,50,39,44,51,50,45,42,46,42,40,41,43,55,59,67,71,63,64,48,47,50,46,43,46,52,46,41,39,49,50,45,48,61,67,64,65,55,48,46,55,52,48,47,50,49,48,52,45,46,53,54,54,55,48,42,40,42,45,46,44,50,55,63,62,46,39,44,45,55,51,48,46,44,50,45,43,47,44,44,45,43,39,36,38,20] {"0":[100,1],"1":[390,4],"2":[898,72],"3":[666,1128],"4":[166,988],"5":[34,226],"6":[7,40],"7":[3,7],"8":[0,3]} [2164,4652,2244]
3 20 100 12 300 [1,3,7,15,26,36,44,42,41,42,46,44,41,38,43,39,38,40,40,46,41,39,42,46,50,57,56,57,45,43,51,54,47,37,39,44,45,49,46,44,50,51,50,47,51,56,51,48,48,48,47,53,52,51,47,55,57,59,63,50,46,45,43,48,48,53,55,54,46,42,51,51,49,52,48,48,42,38,44,39,29,34,44,47,53,55,47,52,54,54,48,42,43,46,51,51,46,50,50,55,28] {"0":[100,1],"1":[390,4],"2":[898,72],"3":[622,1167],"4":[155,931],"5":[24,228],"6":[0,40]} [2089,4559,2161]
3 20 100 12 300 [1,3,7,14,26,41,45,44,59,49,36,44,47,48,61,62,52,46,45,41,42,40,42,40,39,38,44,45,45,44,50,57,65,45,46,48,49,52,57,47,50,49,44,47,51,50,45,48,55,54,60,54,47,48,48,52,44,46,48,50,52,40,42,42,46,48,48,54,56,52,47,47,44,39,41,48,45,42,44,49,54,72,61,60,48,61,49,47,45,46,49,50,45,43,45,42,50,50,44,55,30] {"0":[100,1],"1":[390,4],"2":[916,54],"3":[658,1171],"4":[159,994],"5":[25,225],"6":[2,37],"7":[0,3]} [2150,4668,2220]
1 20 100 18 300 [1,3,5,5,4,4,6,8,5,5,5,5,4,6,7,6,8,5,5,7,7,6,5,6,6,9,6,4,4,5,4,4,5,4,5,7,6,6,7,6,6,7,5,3,5,4,6,5,6,6,4,5,5,6,6,7,5,4,4,5,5,5,6,6,6,6,5,4,4,5,5,5,5,6,5,4,5,4,5,6,7,6,5,7,8,6,6,5,6,6,5,5,6,6,7,6,5,6,7,4,1] {"0":[100,1],"1":[178,21],"2":[52,213],"3":[8,58],"4":[0,11]} [238,542,337]
