k pattern_length text_len alphabet_size patterns average_active_states states_with_error
2 20 100 18 1 [0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,1,1,3,2,1,2,1,1,2,1,1,0,0,0,0] {"0":[18,83],"1":[5,31],"2":[0,7]} [5,43,23]
2 20 100 18 1 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,1,0,0,1,1,2,2,3,2,1,0,0,1,1,1,0,1,1,1,1,1,1] {"0":[22,79],"1":[0,54]} [0,55,21]
2 20 100 18 1 [0,1,3,3,1,2,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,1,1,1,3,3,1,0,0,0,0,1,1,0,0,1,1,3,2,0,0,0,0,0,1,1,1,0,0,0,1,1,2,1,3,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,1,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,2,1] {"0":[25,76],"1":[9,46],"2":[1,15],"3":[0,1]} [10,73,34]
3 20 100 18 1 [0,0,0,1,1,2,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,3,3,3,1,1,3,2,2,1,1,1,1,1,1,1,1,2,4,3,2,1,1,1,1,2,2,2,2,1,3,1,0,0,0,1,0,0,1,1,1,2,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0] {"0":[25,76],"1":[8,62],"2":[3,18],"3":[0,4]} [11,95,36]
3 20 100 18 1 [0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,2,2,2,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0] {"0":[15,86],"1":[1,43],"2":[0,1]} [1,45,16]
3 20 100 18 1 [1,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,1,1,1,3,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,3,2,0,0,0,0,0,0,0,1,2,3,2,5,7,3,2,4,2,1,2,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1] {"0":[22,79],"1":[10,42],"2":[2,21],"3":[0,5]} [12,81,33]
1 20 100 24 1 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] {"0":[6,95],"1":[0,9]} [0,9,6]
1 20 100 24 1 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1] {"0":[5,96],"1":[0,6]} [0,7,4]
1 20 100 24 1 [0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0] {"0":[4,97],"1":[2,4],"2":[0,3]} [2,9,6]
2 20 100 24 1 [0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] {"0":[6,95],"1":[0,11]} [0,11,6]
